store_key,division,district,upazila
S00369,DHAKA,NETRAKONA,KHALIAJURI
S00370,DHAKA,NETRAKONA,KALMAKANDA
S00371,DHAKA,NETRAKONA,KENDUA
S00372,DHAKA,NETRAKONA,MADAN
S00373,DHAKA,NETRAKONA,MOHANGANJ
S00374,DHAKA,NETRAKONA,NETROKONA SADAR
S00375,DHAKA,NETRAKONA,PURBADHALA
S00376,DHAKA,RAJBARI,BALIAKANDI
S00377,DHAKA,RAJBARI,GOALANDA
S00378,DHAKA,RAJBARI,KALUKHALI
S00379,DHAKA,RAJBARI,PANGSHA
S00380,DHAKA,RAJBARI,RAJBARI SADAR
S00381,DHAKA,SHARIATPUR,BHEDARGANJ
S00382,DHAKA,SHARIATPUR,DAMUDYA
S00383,DHAKA,SHARIATPUR,GOSAIRHAT
S00384,DHAKA,SHARIATPUR,NARIA
S00385,DHAKA,SHARIATPUR,SHARIATPUR SADAR
S00386,DHAKA,SHARIATPUR,ZANJIRA
S00387,DHAKA,SHERPUR,JHENAIGATI
S00388,DHAKA,SHERPUR,NAKLA
S00389,DHAKA,SHERPUR,NALITABARI
S00390,DHAKA,SHERPUR,SHERPUR SADAR
S00391,DHAKA,SHERPUR,SREEBARDI
S00392,DHAKA,TANGAIL,BASAIL
S00393,DHAKA,TANGAIL,BHUAPUR
S00394,DHAKA,TANGAIL,DELDUAR
S00395,DHAKA,TANGAIL,DHANBARI
S00396,DHAKA,TANGAIL,GHATAIL
S00397,DHAKA,TANGAIL,GOPALPUR
S00398,DHAKA,TANGAIL,KALIHATI
S00399,DHAKA,TANGAIL,MADHUPUR
S00400,DHAKA,TANGAIL,MIRZAPUR
S00401,DHAKA,TANGAIL,NAGARPUR
S00402,DHAKA,TANGAIL,SAKHIPUR
S00403,DHAKA,TANGAIL,TANGAIL SADAR
S00404,CHITTAGONG,BANDARBAN,ALIKADAM
S00405,CHITTAGONG,BANDARBAN,BANDARBAN SADAR
S00406,CHITTAGONG,BANDARBAN,LAMA
S00407,CHITTAGONG,BANDARBAN,NAIKHONGCHHARI
S00408,CHITTAGONG,BANDARBAN,ROWANGCHHARI
S00409,CHITTAGONG,BANDARBAN,RUMA
S00410,CHITTAGONG,BANDARBAN,THANCHI
S00411,CHITTAGONG,BRAHMANBARIA,AKHAURA
S00412,CHITTAGONG,BRAHMANBARIA,BANCHHARAMPUR
S00413,CHITTAGONG,BRAHMANBARIA,BIJOYNAGAR
S00414,CHITTAGONG,BRAHMANBARIA,BRAHMANBARIA SADAR
S00415,CHITTAGONG,BRAHMANBARIA,ASHUGANJ
S00416,CHITTAGONG,BRAHMANBARIA,KASBA
S00417,CHITTAGONG,BRAHMANBARIA,NABINAGAR
S00418,CHITTAGONG,BRAHMANBARIA,NASIRNAGAR
S00419,CHITTAGONG,BRAHMANBARIA,SARAIL
S00420,CHITTAGONG,CHANDPUR,CHANDPUR SADAR
S00421,CHITTAGONG,CHANDPUR,FARIDGANJ
S00422,CHITTAGONG,CHANDPUR,HAIM CHAR
S00423,CHITTAGONG,CHANDPUR,HAJIGANJ
S00424,CHITTAGONG,CHANDPUR,KACHUA
S00425,CHITTAGONG,CHANDPUR,MATLAB DAKSHIN
S00426,CHITTAGONG,CHANDPUR,MATLAB UTTAR
S00427,CHITTAGONG,CHANDPUR,SHAHRASTI
S00428,CHITTAGONG,CHITTAGONG,ANOWARA
S00429,CHITTAGONG,CHITTAGONG,BAYEJID BOSTAMI
S00430,CHITTAGONG,CHITTAGONG,BANSHKHALI
S00431,CHITTAGONG,CHITTAGONG,BAKALIA
S00432,CHITTAGONG,CHITTAGONG,BOALKHALI
S00433,CHITTAGONG,CHITTAGONG,CHANDANAISH
S00434,CHITTAGONG,CHITTAGONG,CHANDGAON
S00435,CHITTAGONG,CHITTAGONG,CHITTAGONG PORT
S00436,CHITTAGONG,CHITTAGONG,DOUBLE MOORING
S00437,CHITTAGONG,CHITTAGONG,FATIKCHHARI
S00438,CHITTAGONG,CHITTAGONG,HALISHAHAR
S00439,CHITTAGONG,CHITTAGONG,HATHAZARI
S00440,CHITTAGONG,CHITTAGONG,KOTWALI
S00441,CHITTAGONG,CHITTAGONG,KHULSHI
S00442,CHITTAGONG,CHITTAGONG,LOHAGARA
S00443,CHITTAGONG,CHITTAGONG,MIRSHARAI
S00444,CHITTAGONG,CHITTAGONG,PAHARTALI
S00445,CHITTAGONG,CHITTAGONG,PANCHLAISH
S00446,CHITTAGONG,CHITTAGONG,PATIYA
S00447,CHITTAGONG,CHITTAGONG,PATENGA
S00448,CHITTAGONG,CHITTAGONG,RANGUNIA
S00449,CHITTAGONG,CHITTAGONG,RAOZAN
S00450,CHITTAGONG,CHITTAGONG,SANDWIP
S00451,CHITTAGONG,CHITTAGONG,SATKANIA
S00452,CHITTAGONG,CHITTAGONG,SITAKUNDA
S00453,CHITTAGONG,COMILLA,BARURA
S00454,CHITTAGONG,COMILLA,BRAHMAN PARA
S00455,CHITTAGONG,COMILLA,BURICHANG
S00456,CHITTAGONG,COMILLA,CHANDINA
S00457,CHITTAGONG,COMILLA,CHAUDDAGRAM
S00458,CHITTAGONG,COMILLA,COMILLA SADAR DAKSHIN
S00459,CHITTAGONG,COMILLA,DAUDKANDI
S00460,CHITTAGONG,COMILLA,DEBIDWAR
S00461,CHITTAGONG,COMILLA,HOMNA
S00462,CHITTAGONG,COMILLA,COMILLA ADARSHA SADAR
S00463,CHITTAGONG,COMILLA,LAKSAM
S00464,CHITTAGONG,COMILLA,MANOHARGANJ
S00465,CHITTAGONG,COMILLA,MEGHNA
S00466,CHITTAGONG,COMILLA,MURADNAGAR
S00467,CHITTAGONG,COMILLA,NANGALKOT
S00468,CHITTAGONG,COMILLA,TITAS
S00469,CHITTAGONG,COX'S BAZAR,CHAKARIA
S00470,CHITTAGONG,COX'S BAZAR,COX'S BAZAR SADAR
S00471,CHITTAGONG,COX'S BAZAR,KUTUBDIA
S00472,CHITTAGONG,COX'S BAZAR,MAHESHKHALI
S00473,CHITTAGONG,COX'S BAZAR,PEKUA
S00474,CHITTAGONG,COX'S BAZAR,RAMU
S00475,CHITTAGONG,COX'S BAZAR,TEKNAF
S00476,CHITTAGONG,COX'S BAZAR,UKHIA
S00477,CHITTAGONG,FENI,CHHAGALNAIYA
S00478,CHITTAGONG,FENI,DAGANBHUIYAN
S00479,CHITTAGONG,FENI,FENI SADAR
S00480,CHITTAGONG,FENI,FULGAZI
S00481,CHITTAGONG,FENI,PARSHURAM
S00482,CHITTAGONG,FENI,SONAGAZI
S00483,CHITTAGONG,KHAGRACHHARI,DIGHINALA
S00484,CHITTAGONG,KHAGRACHHARI,KHAGRACHHARI SADAR
S00485,CHITTAGONG,KHAGRACHHARI,LAKSHMICHHARI
S00486,CHITTAGONG,KHAGRACHHARI,MAHALCHHARI
S00487,CHITTAGONG,KHAGRACHHARI,MANIKCHHARI
S00488,CHITTAGONG,KHAGRACHHARI,MATIRANGA
S00489,CHITTAGONG,KHAGRACHHARI,PANCHHARI
S00490,CHITTAGONG,KHAGRACHHARI,RAMGARH
S00491,CHITTAGONG,LAKSHMIPUR,KAMALNAGAR
S00492,CHITTAGONG,LAKSHMIPUR,LAKSHMIPUR SADAR
S00493,CHITTAGONG,LAKSHMIPUR,ROYPUR
S00494,CHITTAGONG,LAKSHMIPUR,RAMGANJ
S00495,CHITTAGONG,LAKSHMIPUR,RAMGATI
S00496,CHITTAGONG,NOAKHALI,BEGUMGANJ
S00497,CHITTAGONG,NOAKHALI,CHATKHIL
S00498,CHITTAGONG,NOAKHALI,COMPANIGANJ
S00499,CHITTAGONG,NOAKHALI,HATIYA
S00500,CHITTAGONG,NOAKHALI,KABIRHAT
S00501,CHITTAGONG,NOAKHALI,SENBAGH
S00502,CHITTAGONG,NOAKHALI,SONAIMURI
S00503,CHITTAGONG,NOAKHALI,SUBARNACHAR
S00504,CHITTAGONG,NOAKHALI,NOAKHALI SADAR
S00505,CHITTAGONG,RANGAMATI,BAGHAICHHARI
S00506,CHITTAGONG,RANGAMATI,BARKAL UPAZILA
S00507,CHITTAGONG,RANGAMATI,KAWKHALI (BETBUNIA)
S00508,CHITTAGONG,RANGAMATI,BELAI CHHARI  UPAZI
S00509,CHITTAGONG,RANGAMATI,KAPTAI  UPAZILA
S00510,CHITTAGONG,RANGAMATI,JURAI CHHARI UPAZIL
S00511,CHITTAGONG,RANGAMATI,LANGADU  UPAZILA
S00512,CHITTAGONG,RANGAMATI,NANIARCHAR  UPAZILA
S00513,CHITTAGONG,RANGAMATI,RAJASTHALI  UPAZILA
S00514,CHITTAGONG,RANGAMATI,RANGAMATI SADAR  UP
S00515,BARISAL,BARGUNA,AMTALI
S00516,BARISAL,BARGUNA,BAMNA
S00517,BARISAL,BARGUNA,BARGUNA SADAR
S00518,BARISAL,BARGUNA,BETAGI
S00519,BARISAL,BARGUNA,PATHARGHATA
S00520,BARISAL,BARGUNA,TALTALI
S00521,BARISAL,BARISAL,AGAILJHARA
S00522,BARISAL,BARISAL,BABUGANJ
S00523,BARISAL,BARISAL,BAKERGANJ
S00524,BARISAL,BARISAL,BANARI PARA
S00525,BARISAL,BARISAL,GAURNADI
S00526,BARISAL,BARISAL,HIZLA
S00527,BARISAL,BARISAL,BARISAL SADAR (KOTWALI)
S00528,BARISAL,BARISAL,MEHENDIGANJ
S00529,BARISAL,BARISAL,MULADI
S00530,BARISAL,BARISAL,WAZIRPUR
S00531,BARISAL,BHOLA,BHOLA SADAR
S00532,BARISAL,BHOLA,BURHANUDDIN
S00533,BARISAL,BHOLA,CHAR FASSON
S00534,BARISAL,BHOLA,DAULAT KHAN
S00535,BARISAL,BHOLA,LALMOHAN
S00536,BARISAL,BHOLA,MANPURA
S00537,BARISAL,BHOLA,TAZUMUDDIN
S00538,BARISAL,JHALOKATI,JHALOKATI SADAR
S00539,BARISAL,JHALOKATI,KANTHALIA
S00540,BARISAL,JHALOKATI,NALCHITY
S00541,BARISAL,JHALOKATI,RAJAPUR
S00542,BARISAL,PATUAKHALI,BAUPHAL
S00543,BARISAL,PATUAKHALI,DASHMINA
S00544,BARISAL,PATUAKHALI,DUMKI
S00545,BARISAL,PATUAKHALI,GALACHIPA
S00546,BARISAL,PATUAKHALI,KALAPARA
S00547,BARISAL,PATUAKHALI,MIRZAGANJ
S00548,BARISAL,PATUAKHALI,PATUAKHALI SADAR
S00549,BARISAL,PATUAKHALI,RANGABALI
S00550,BARISAL,PIROJPUR,BHANDARIA
S00551,BARISAL,PIROJPUR,KAWKHALI
S00552,BARISAL,PIROJPUR,MATHBARIA
S00553,BARISAL,PIROJPUR,NAZIRPUR
S00554,BARISAL,PIROJPUR,PIROJPUR SADAR
S00555,BARISAL,PIROJPUR,NESARABAD (SWARUPKATI)
S00556,BARISAL,PIROJPUR,ZIANAGAR
S00557,RAJSHAHI,RAJSHAHI,BAGHA
S00558,RAJSHAHI,RAJSHAHI,BAGHMARA
S00559,RAJSHAHI,RAJSHAHI,BOALIA
S00560,RAJSHAHI,RAJSHAHI,CHARGHAT
S00561,RAJSHAHI,RAJSHAHI,DURGAPUR
S00562,RAJSHAHI,RAJSHAHI,GODAGARI
S00563,RAJSHAHI,RAJSHAHI,MATIHAR
S00564,RAJSHAHI,RAJSHAHI,MOHANPUR
S00565,RAJSHAHI,RAJSHAHI,PABA
S00566,RAJSHAHI,RAJSHAHI,PUTHIA
S00567,RAJSHAHI,RAJSHAHI,RAJPARA
S00568,RAJSHAHI,RAJSHAHI,SHAH MAKHDUM
S00569,RAJSHAHI,RAJSHAHI,TANORE
S00570,KHULNA,KHULNA,BATIAGHATA
S00571,KHULNA,KHULNA,DACOPE
S00572,KHULNA,KHULNA,DAULATPUR
S00573,KHULNA,KHULNA,DUMURIA
S00574,KHULNA,KHULNA,DIGHALIA
S00575,KHULNA,KHULNA,KHALISHPUR
S00576,KHULNA,KHULNA,KHAN JAHAN ALI
S00577,KHULNA,KHULNA,KHULNA SADAR
S00578,KHULNA,KHULNA,KOYRA
S00579,KHULNA,KHULNA,PAIKGACHHA
S00580,KHULNA,KHULNA,PHULTALA
S00581,KHULNA,KHULNA,RUPSA
S00582,KHULNA,KHULNA,SONADANGA
S00583,KHULNA,KHULNA,TEROKHADA
S00584,DHAKA,DHAKA,ADABOR
S00585,DHAKA,DHAKA,ADABOR
S00586,DHAKA,DHAKA,BADDA
S00587,DHAKA,DHAKA,BADDA
S00588,DHAKA,DHAKA,BANGSHAL
S00589,DHAKA,DHAKA,BANGSHAL
S00590,DHAKA,DHAKA,BIMAN BANDAR
S00591,DHAKA,DHAKA,BIMAN BANDAR
S00592,DHAKA,DHAKA,BANANI
S00593,DHAKA,DHAKA,BANANI
S00594,DHAKA,DHAKA,CANTONMENT
S00595,DHAKA,DHAKA,CANTONMENT
S00596,DHAKA,DHAKA,CHAK BAZAR
S00597,DHAKA,DHAKA,CHAK BAZAR
S00598,DHAKA,DHAKA,DAKSHINKHAN
S00599,DHAKA,DHAKA,DAKSHINKHAN
S00600,DHAKA,DHAKA,DARUS SALAM
S00601,DHAKA,DHAKA,DARUS SALAM
S00602,DHAKA,DHAKA,DEMRA
S00603,DHAKA,DHAKA,DEMRA
S00604,DHAKA,DHAKA,DHAMRAI
S00605,DHAKA,DHAKA,DHAMRAI
S00606,DHAKA,DHAKA,DHANMONDI
S00607,DHAKA,DHAKA,DHANMONDI
S00608,DHAKA,DHAKA,DOHAR
S00609,DHAKA,DHAKA,DOHAR
S00610,DHAKA,DHAKA,BHASAN TEK
S00611,DHAKA,DHAKA,BHASAN TEK
S00612,DHAKA,DHAKA,BHATARA
S00613,DHAKA,DHAKA,BHATARA
S00614,DHAKA,DHAKA,GENDARIA
S00615,DHAKA,DHAKA,GENDARIA
S00616,DHAKA,DHAKA,GULSHAN
S00617,DHAKA,DHAKA,GULSHAN
S00618,DHAKA,DHAKA,HAZARIBAGH
S00619,DHAKA,DHAKA,HAZARIBAGH
S00620,DHAKA,DHAKA,JATRABARI
S00621,DHAKA,DHAKA,JATRABARI
S00622,DHAKA,DHAKA,KAFRUL
S00623,DHAKA,DHAKA,KAFRUL
S00624,DHAKA,DHAKA,KADAMTALI
S00625,DHAKA,DHAKA,KADAMTALI
S00626,DHAKA,DHAKA,KALABAGAN
S00627,DHAKA,DHAKA,KALABAGAN
S00628,DHAKA,DHAKA,KAMRANGIR CHAR
S00629,DHAKA,DHAKA,KAMRANGIR CHAR
S00630,DHAKA,DHAKA,KHILGAON
S00631,DHAKA,DHAKA,KHILGAON
S00632,DHAKA,DHAKA,KHILKHET
S00633,DHAKA,DHAKA,KHILKHET
S00634,DHAKA,DHAKA,KERANIGANJ
S00635,DHAKA,DHAKA,KERANIGANJ
S00636,DHAKA,DHAKA,KOTWALI
S00637,DHAKA,DHAKA,KOTWALI
S00638,DHAKA,DHAKA,LALBAGH
S00639,DHAKA,DHAKA,LALBAGH
S00640,DHAKA,DHAKA,MIRPUR
S00641,DHAKA,DHAKA,MIRPUR
S00642,DHAKA,DHAKA,MOHAMMADPUR
S00643,DHAKA,DHAKA,MOHAMMADPUR
S00644,DHAKA,DHAKA,MOTIJHEEL
S00645,DHAKA,DHAKA,MOTIJHEEL
S00646,DHAKA,DHAKA,MUGDA PARA
S00647,DHAKA,DHAKA,MUGDA PARA
S00648,DHAKA,DHAKA,NAWABGANJ
S00649,DHAKA,DHAKA,NAWABGANJ
S00650,DHAKA,DHAKA,NEW MARKET
S00651,DHAKA,DHAKA,NEW MARKET
S00652,DHAKA,DHAKA,PALLABI
S00653,DHAKA,DHAKA,PALLABI
S00654,DHAKA,DHAKA,PALTAN
S00655,DHAKA,DHAKA,PALTAN
S00656,DHAKA,DHAKA,RAMNA
S00657,DHAKA,DHAKA,RAMNA
S00658,DHAKA,DHAKA,RAMPURA
S00659,DHAKA,DHAKA,RAMPURA
S00660,DHAKA,DHAKA,SABUJBAGH
S00661,DHAKA,DHAKA,SABUJBAGH
S00662,DHAKA,DHAKA,RUPNAGAR
S00663,DHAKA,DHAKA,RUPNAGAR
S00664,DHAKA,DHAKA,SAVAR
S00665,DHAKA,DHAKA,SAVAR
S00666,DHAKA,DHAKA,SHAHJAHANPUR
S00667,DHAKA,DHAKA,SHAHJAHANPUR
S00668,DHAKA,DHAKA,SHAH ALI
S00669,DHAKA,DHAKA,SHAH ALI
S00670,DHAKA,DHAKA,SHAHBAGH
S00671,DHAKA,DHAKA,SHAHBAGH
S00672,DHAKA,DHAKA,SHYAMPUR
S00673,DHAKA,DHAKA,SHYAMPUR
S00674,DHAKA,DHAKA,SHER-E-BANGLA NAGAR
S00675,DHAKA,DHAKA,SHER-E-BANGLA NAGAR
S00676,DHAKA,DHAKA,SUTRAPUR
S00677,DHAKA,DHAKA,SUTRAPUR
S00678,DHAKA,DHAKA,TEJGAON
S00679,DHAKA,DHAKA,TEJGAON
S00680,DHAKA,DHAKA,TEJGAON IND. AREA
S00681,DHAKA,DHAKA,TEJGAON IND. AREA
S00682,DHAKA,DHAKA,TURAG
S00683,DHAKA,DHAKA,TURAG
S00684,DHAKA,DHAKA,UTTARA  PASCHIM
S00685,DHAKA,DHAKA,UTTARA  PASCHIM
S00686,DHAKA,DHAKA,UTTARA  PURBA
S00687,DHAKA,DHAKA,UTTARA  PURBA
S00688,DHAKA,DHAKA,UTTAR KHAN
S00689,DHAKA,DHAKA,UTTAR KHAN
S00690,DHAKA,DHAKA,WARI
S00691,DHAKA,DHAKA,WARI
S00692,CHITTAGONG,CHITTAGONG,ANOWARA
S00693,CHITTAGONG,CHITTAGONG,BAYEJID BOSTAMI
S00694,CHITTAGONG,CHITTAGONG,BANSHKHALI
S00695,CHITTAGONG,CHITTAGONG,BAKALIA
S00696,CHITTAGONG,CHITTAGONG,BOALKHALI
S00697,CHITTAGONG,CHITTAGONG,CHANDANAISH
S00698,CHITTAGONG,CHITTAGONG,CHANDGAON
S00699,CHITTAGONG,CHITTAGONG,CHITTAGONG PORT
S00700,CHITTAGONG,CHITTAGONG,DOUBLE MOORING
S00701,CHITTAGONG,CHITTAGONG,FATIKCHHARI
S00702,CHITTAGONG,CHITTAGONG,HALISHAHAR
S00703,CHITTAGONG,CHITTAGONG,HATHAZARI
S00704,CHITTAGONG,CHITTAGONG,KOTWALI
S00705,CHITTAGONG,CHITTAGONG,KHULSHI
S00706,CHITTAGONG,CHITTAGONG,LOHAGARA
S00707,CHITTAGONG,CHITTAGONG,MIRSHARAI
S00708,CHITTAGONG,CHITTAGONG,PAHARTALI
S00709,CHITTAGONG,CHITTAGONG,PANCHLAISH
S00710,CHITTAGONG,CHITTAGONG,PATIYA
S00711,CHITTAGONG,CHITTAGONG,PATENGA
S00712,CHITTAGONG,CHITTAGONG,RANGUNIA
S00713,CHITTAGONG,CHITTAGONG,RAOZAN
S00714,CHITTAGONG,CHITTAGONG,SANDWIP
S00715,CHITTAGONG,CHITTAGONG,SATKANIA
S00716,CHITTAGONG,CHITTAGONG,SITAKUNDA
S00717,BARISAL,BARISAL,AGAILJHARA
S00718,BARISAL,BARISAL,BABUGANJ
S00719,BARISAL,BARISAL,BAKERGANJ
S00720,BARISAL,BARISAL,BANARI PARA
S00721,BARISAL,BARISAL,GAURNADI
S00722,BARISAL,BARISAL,HIZLA
S00723,BARISAL,BARISAL,BARISAL SADAR (KOTWALI)
S00724,BARISAL,BARISAL,MEHENDIGANJ
S00725,BARISAL,BARISAL,MULADI
S00726,BARISAL,BARISAL,WAZIRPUR
